INVOICE,INV DATE,ITEM NO.,ITEM NAME,INV QTY.,UNIT,UNIT PRICE,AMOUNT,CUR,LOCATION,W/H,CUSTOMER,C/O NO.,C/O QTY.,C/O BAL.,OPERATOR,OPERATOR NAME,QA/FN NO.,QA DATE,ITEM NO.,ITEM NAME,QTY.,LOCATION,VENDOR,W/H,OPERATOR,OPERATOR NAME,M/O NO.,ISS DATE,ITEM NO.,ITEM NAME,QTY.,TYPE,LOCATION,W/H,OPERATOR,OPERATOR NAME,LEVEL,,REF TYPE,REF NO.,ITEM NO.,ITEM NAME,ISS DATE,QTY.,TYPE,LOCATION,W/H,LOT NO.,OPERATOR,OPERATOR NAME,NO.,PROCESS,PROCESS NAME,MACHINE,MODEL,PRO DATE,SHIF,GROUP DIE,LOCATION,IN QTY.,GOOD QTY.,NG QTY.,NG (%),YIELD (%),LOT NO.,MATERIAL LOT,REMARK#1,REMARK#2,TAG NO.,OPERATOR,OPERATOR NAME,NO,NG CODE,NG NAME,NG QTY.,NG (%),MATLOT,DATE,ITEM NO.,ITEM NAME,DOCUMENT,IN-QTY.,UNIT,PRICE,AMOUNT,CUR,TR,LOCATION,W/H,VENDOR,P/O NO.,P/O-QTY.,P/O-BAL.,OPERATOR,OPERATOR NAME
2572-131-6845B7,23/8/2025,5647-003-6555B4,MASKED_ITEM_2,27,PCS,61.44,72.5,BT,S1,P,MASKED_98404,A85C3BB,35,0,OP_DRYUNBFL2,MRS.PU52OBON_1680,AF303BD25C4,16/8/2025,9918-557-2803B3,MASKED_ITEM_2,2,S3,,F,OP_9NLGM657R,MR.38WSY459_6769,AF303BD25C4,28/8/2025,2510-116-6790B3,MASKED_ITEM_2,161,C,IL,Q,OP_G4T0RFYAK,MRS.NKSDH4D2_2212,-1,,M,AF303BD25C4,8190-195-3534B4,MASKED_ITEM_2,20/8/2025,371,F,ZONE_Z,Q,IQ610681,OP_B7B990A4U,MRS.E35EBTWP_8243,1,5729,MASKED_PROCESS_1,MASKED_MACHINE_1,MASKED_MODEL_1,14/8/2025,N,,,140,233,458,41.13,84.76,,0H1W2404,RMK_RFRL,,ZF6Y7705,OP_3RS72R6OR,MS.I7WMRB96_8431,,,,,,,,,,,,,,,,,,,,,,,,
6254-747-8376B3,1/9/2025,0528-058-8107B3,MASKED_ITEM_3,337,PCS,30.38,81.56,BT,ZONE_Z,Q,MASKED_87799,A85C3BB,452,0,OP_8MNN1JFIB,MRS.3SW2Q1MK_8668,AF303BD25C4,16/8/2025,1760-156-8795B4,MASKED_ITEM_3,163,S2,,P,OP_C7BWYKGK3,MRS.Y2CBN84X_3340,AF303BD25C4,24/8/2025,3802-571-0941B4,MASKED_ITEM_3,377,F,ZONE_Z,Q,OP_JT0OFILQ9,MS.FMW6PS5D_0558,-1,,C,AF303BD25C4,6050-341-3998B4,MASKED_ITEM_3,24/8/2025,168,C,S2,Q,JMHO1663,OP_JLGOKJDIQ,MS.1JCWOO8W_9238,2,5310,MASKED_PROCESS_2,MASKED_MACHINE_2,MASKED_MODEL_2,29/8/2025,D,,,196,134,274,22.71,25.74,,,,,4R314516,OP_23VQN2KW5,MS.YB8R9QB1_2235,1,I422,,2,53.16,,,,,,,,,,,,,,,,,,,
0925-367-9828B3,9/8/2025,3785-799-0141B7,MASKED_ITEM_4,463,PCS,39.58,74.73,BT,S3,Q,MASKED_73941,A85C3BB,275,0,OP_3ND0SVOQ1,MR.8UD37P4Y_7476,AF303BD25C4,5/8/2025,4350-943-4165B7,MASKED_ITEM_4,135,S2,,Q,OP_WLJW0CS7T,MR.69P00JNQ_8406,AF303BD25C4,22/8/2025,3787-144-6769B3,MASKED_ITEM_4,311,F,IL,Q,OP_KEK0O21ZG,MR.QDCPA7NG_9901,-1,,C,AF303BD25C4,7064-009-3280B4,MASKED_ITEM_4,8/8/2025,206,C,S3,Q,0C7P1253,OP_DNNV4ZYI0,MS.S1WEH8NH_2386,2,5629,MASKED_PROCESS_3,MASKED_MACHINE_3,MASKED_MODEL_3,11/8/2025,D,,,405,314,323,81.7,52.83,,,,,TJ6A5740,OP_SMZ8Z6KDX,MRS.0GSTVMGW_7569,2,GP21,,34,46.01,,,,,,,,,,,,,,,,,,,
5261-371-8066B4,27/8/2025,2225-281-6043B3,MASKED_ITEM_5,375,PCS,64.22,56.18,BT,ZONE_Z,P,MASKED_81274,A85C3BB,409,0,OP_9MFABURRJ,MRS.MK18V6J6_2850,AF303BD25C4,6/8/2025,6451-784-3424B7,MASKED_ITEM_5,295,S1,,F,OP_9679DBKP6,MR.A2QQGYKK_0635,AF303BD25C4,1/9/2025,4160-087-6220B3,MASKED_ITEM_5,275,M,ZONE_Z,Q,OP_ZHA7GJJ0U,MS.BFK2GEMT_3597,-1,,F,AF303BD25C4,0815-706-5741B7,MASKED_ITEM_5,22/8/2025,411,M,S3,F,JSBU1803,OP_K4AUZB7JM,MRS.9Y9X7X4X_3366,3,6154,MASKED_PROCESS_4,MASKED_MACHINE_4,MASKED_MODEL_4,25/8/2025,D,,,324,323,297,63.27,9.64,,,,,ZJZK2868,OP_JJWI5XQYT,MS.JC0LVX20_3874,,,,,,,,,,,,,,,,,,,,,,,,
9343-871-5042B7,14/8/2025,1239-085-2670B3,MASKED_ITEM_6,127,PCS,34.29,63.72,BT,S3,P,MASKED_67971,A85C3BB,267,0,OP_JJOSQ19XI,MS.PAMP2LM0_0979,AF303BD25C4,24/8/2025,0500-296-6060B4,MASKED_ITEM_6,195,S1,,P,OP_29022WPH1,MRS.LW93QR3F_7628,AF303BD25C4,5/8/2025,3877-103-9236B3,MASKED_ITEM_6,212,M,IL,Q,OP_YU22X6WD8,MR.9D681W6Y_2174,-1,,M,AF303BD25C4,4863-830-8658B7,MASKED_ITEM_6,26/8/2025,152,F,S2,Q,56NA0340,OP_QOS6C1I7O,MRS.7BHXBTGJ_7275,4,6475,MASKED_PROCESS_5,MASKED_MACHINE_5,MASKED_MODEL_5,29/8/2025,M,,,407,441,494,98.95,19.46,,,,,6MV41216,OP_U0CLFUK6Y,MR.R4G2XW9B_0408,1,I249,,74,30.9,,,,,,,,,,,,,,,,,,,
1023-981-0554B3,23/8/2025,7317-574-4391B4,MASKED_ITEM_7,11,PCS,98.02,64.86,BT,S2,F,MASKED_40513,A85C3BB,216,0,OP_XE6X0AFT3,MR.O046U3CW_2677,AF303BD25C4,4/8/2025,5367-446-4003B3,MASKED_ITEM_7,454,S2,,Q,OP_1SCN292DG,MR.M1QSBUN0_1253,AF303BD25C4,21/8/2025,7927-831-7486B7,MASKED_ITEM_7,227,F,S3,Q,OP_9ZNXG0GA5,MS.9KMN2EPD_9810,-1,,F,AF303BD25C4,0996-871-4050B7,MASKED_ITEM_7,1/9/2025,380,F,ZONE_Z,Q,PPLL4227,OP_1JDQ5DWUO,MR.GDN8X4LE_8381,4,6982,MASKED_PROCESS_6,MASKED_MACHINE_6,MASKED_MODEL_6,13/8/2025,N,,,68,256,70,50.25,6.73,,,,,UB1A5881,OP_X9QJIN3VI,MS.M9GACQS4_2545,2,ZI00,,175,9.15,,,,,,,,,,,,,,,,,,,
9532-191-6728B4,15/8/2025,2955-692-8306B3,MASKED_ITEM_8,488,PCS,20.63,83.86,BT,ZONE_Z,P,MASKED_77259,A85C3BB,250,0,OP_OQ3RRN832,MR.GA8ZOANG_3296,AF303BD25C4,15/8/2025,0654-414-9436B7,MASKED_ITEM_8,160,IL,,P,OP_6JD0G3HLA,MRS.MI4EGU7H_6251,AF303BD25C4,23/8/2025,2418-148-1846B3,MASKED_ITEM_8,43,C,S1,Q,OP_7HA53L7BN,MS.3KMCK9IO_0649,-1,,C,AF303BD25C4,6276-449-4146B3,MASKED_ITEM_8,1/8/2025,1,C,S2,P,4UAC2633,OP_LYV510W2M,MR.AT9I67ER_5670,4,5792,MASKED_PROCESS_7,MASKED_MACHINE_7,MASKED_MODEL_7,28/8/2025,M,,,66,230,118,74.45,90.3,,,,,XOCR5734,OP_5KYE7JW3R,MS.K7248NVW_0312,3,Q641,,119,36.89,,,,,,,,,,,,,,,,,,,
8461-076-0062B3,16/8/2025,2159-238-9973B7,MASKED_ITEM_9,186,PCS,24.75,82.53,BT,IL,Q,MASKED_35482,A85C3BB,406,0,OP_YRNP7CCYQ,MRS.CB74T6K1_6756,AF303BD25C4,6/8/2025,3341-167-8360B3,MASKED_ITEM_9,133,S2,,Q,OP_QFV403QHB,MR.UXQX9MT4_7377,AF303BD25C4,4/8/2025,1471-656-0002B3,MASKED_ITEM_9,352,C,IL,Q,OP_L5HVHB88B,MRS.560A2THS_0004,-1,,C,AF303BD25C4,7017-071-3213B3,MASKED_ITEM_9,11/8/2025,323,C,ZONE_Z,Q,PF0W0723,OP_6WNCYS1IA,MR.GLX17C35_3108,4,6745,MASKED_PROCESS_8,MASKED_MACHINE_8,MASKED_MODEL_8,3/8/2025,N,,,482,99,329,47.15,46.52,,,,,XZVV3444,OP_MZTICO2JN,MR.UK3OILA7_2716,4,BR52,,7,43.19,,,,,,,,,,,,,,,,,,,
5239-608-7393B4,11/8/2025,4180-342-5896B4,MASKED_ITEM_10,110,PCS,40.72,30.96,BT,S2,F,MASKED_74801,A85C3BB,486,0,OP_OHYXI9M1F,MRS.ETR78446_3141,AF303BD25C4,1/8/2025,8556-533-3413B4,MASKED_ITEM_10,72,S2,,Q,OP_AP5WGRC6A,MRS.WNLENPRT_6363,AF303BD25C4,4/8/2025,0707-829-0654B3,MASKED_ITEM_10,128,F,IL,Q,OP_C2JAP2N2C,MR.M9B9608L_2267,-1,,C,AF303BD25C4,2837-916-9395B3,MASKED_ITEM_10,3/8/2025,299,C,ZONE_Z,F,L9Z35619,OP_F73QKGX7O,MRS.RHYULJYZ_5439,5,6703,MASKED_PROCESS_9,MASKED_MACHINE_9,MASKED_MODEL_9,4/8/2025,M,,,272,448,346,3.3,27.47,,,,,E7JE7499,OP_DQI5Z1QL7,MS.4SPXZBL9_7531,,,,,,,,,,,,,,,,,,,,,,,,
2166-628-5928B3,4/8/2025,3988-252-8907B3,MASKED_ITEM_11,306,PCS,54.47,62.99,BT,IL,Q,MASKED_07540,A85C3BB,349,0,OP_GIV35428R,MS.Y8ZJBR18_4723,AF303BD25C4,10/8/2025,6408-390-9191B4,MASKED_ITEM_11,224,S1,,P,OP_2H9RWFLRM,MS.GN5KEFLT_5417,AF303BD25C4,9/8/2025,9446-650-6931B3,MASKED_ITEM_11,192,C,ZONE_Z,F,OP_88BVZKV0A,MS.GYO1X75F_4297,-1,,C,AF303BD25C4,7891-453-6238B7,MASKED_ITEM_11,30/8/2025,222,F,S3,P,PDT28545,OP_MK514SNFA,MRS.LQEJEGOG_6132,6,5220,MASKED_PROCESS_10,MASKED_MACHINE_10,MASKED_MODEL_10,3/8/2025,M,,,136,231,431,86.96,46.53,,,,,DITQ2568,OP_9B3FWUA7J,MRS.VVMS6NGT_5369,,,,,,,,,,,,,,,,,,,,,,,,
